1W1P,,,,,,,,,,,,
0,,,,,0,,,,,,,
1,,,,,1,,,,,,,
2,,,,,2,,,,,,,
3,,,,,3,,,,,,,
6,,,,,6,,,0,6,,6,6
7,,,,,7,,,1,8,7,7,7
10,,,,,10,,,2,10,,10,A
11,,,,,11,,,3,12,11,11,B
14,,,,,,,,4,14,,14,E
15,,,,,,,,5,16,15,15,F
18,,,,,,,,6,18,,18,12
19,,,,,,,,7,20,19,19,13
22,,,,,,,,8,22,,22,16
23,,,,,,,,9,24,23,23,17
26,,,,,,,,10,26,,26,1A
27,,,,,,,,11,28,27,27,1B
30,,,,,,,,12,30,,30,1E
31,,,,,,,,13,32,31,31,1F
34,,,,,,,,14,34,,34,22
35,,,,,,,,15,36,35,35,23
38,,,,,,,,16,38,,38,26
39,,,,,,,,17,40,39,39,27
42,,,,,,,,18,42,,42,2A
43,,,,,,,,19,44,43,43,2B
46,,,,,,,,20,46,,46,2E
47,,,,,,,,21,48,47,47,2F
50,,,,,,,,22,50,,50,32
51,,,,,,,,23,52,51,51,33
54,,,,,,,,24,54,,54,36
55,,,,,,,,25,56,55,55,37
58,,,,,,,,26,58,,58,3A
59,,,,,,,,27,60,59,59,3B
62,,,,,,,,28,62,,62,3E
63,,,,,,,,29,64,63,63,3F
66,,,,,,,,30,66,,66,42
67,,,,,,,,31,68,67,67,43
70,,,,,,,,32,70,,70,46
71,,,,,,,,33,72,71,71,47
74,,,,,,,,34,74,,74,4A
75,,,,,,,,35,76,75,75,4B
78,,,,,,,,36,78,,78,4E
79,,,,,,,,37,80,79,79,4F
82,,,,,,,,38,82,,82,52
83,,,,,,,,39,84,83,83,53
86,,,,,,,,40,86,,86,56
87,,,,,,,,41,88,87,87,57
90,,,,,,,,42,90,,90,5A
91,,,,,,,,43,92,91,91,5B
94,,,,,,,,44,94,,94,5E
95,,,,,,,,45,96,95,95,5F
98,,,,,,,,46,98,,98,62
99,,,,,,,,47,100,99,99,63
102,,,,,,,,48,102,,102,66
103,,,,,,,,49,104,103,103,67
106,,,,,,,,50,106,,106,6A
107,,,,,,,,51,108,107,107,6B
110,,,,,,,,52,110,,110,6E
111,,,,,,,,53,112,111,111,6F
114,,,,,,,,54,114,,114,72
115,,,,,,,,55,116,115,115,73
118,,,,,,,,56,118,,118,76
119,,,,,,,,57,120,119,119,77
122,,,,,,,,58,122,,122,7A
123,,,,,,,,59,124,123,123,7B
126,,,,,,,,60,126,,126,7E
127,,,,,,,,61,128,127,127,7F
130,,,,,,,,62,130,,130,82
131,,,,,,,,63,132,131,131,83
134,,,,,,,,64,134,,134,86
135,,,,,,,,65,136,135,135,87
138,,,,,,,,66,138,,138,8A
139,,,,,,,,67,140,139,139,8B
142,,,,,,,,68,142,,142,8E
143,,,,,,,,69,144,143,143,8F
146,,,,,,,,70,146,,146,92
147,,,,,,,,71,148,147,147,93
150,,,,,,,,72,150,,150,96
151,,,,,,,,73,152,151,151,97
154,,,,,,,,74,154,,154,9A
155,,,,,,,,75,156,155,155,9B
158,,,,,,,,76,158,,158,9E
159,,,,,,,,77,160,159,159,9F
162,,,,,,,,78,162,,162,A2
163,,,,,,,,79,164,163,163,A3
166,,,,,,,,80,166,,166,A6
167,,,,,,,,81,168,167,167,A7
170,,,,,,,,82,170,,170,AA
171,,,,,,,,83,172,171,171,AB
174,,,,,,,,84,174,,174,AE
175,,,,,,,,85,176,175,175,AF
178,,,,,,,,86,178,,178,B2
179,,,,,,,,87,180,179,179,B3
182,,,,,,,,88,182,,182,B6
183,,,,,,,,89,184,183,183,B7
186,,,,,,,,90,186,,186,BA
187,,,,,,,,91,188,187,187,BB
190,,,,,,,,92,190,,190,BE
191,,,,,,,,93,192,191,191,BF
194,,,,,,,,94,194,,194,C2
195,,,,,,,,95,196,195,195,C3
198,,,,,,,,96,198,,198,C6
199,,,,,,,,97,200,199,199,C7
202,,,,,,,,98,202,,202,CA
203,,,,,,,,99,204,203,203,CB
206,,,,,,,,100,206,,206,CE
207,,,,,,,,101,208,207,207,CF
210,,,,,,,,102,210,,210,D2
211,,,,,,,,103,212,211,211,D3
214,,,,,,,,104,214,,214,D6
215,,,,,,,,105,216,215,215,D7
218,,,,,,,,106,218,,218,DA
219,,,,,,,,107,220,219,219,DB
222,,,,,,,,108,222,,222,DE
223,,,,,,,,109,224,223,223,DF
226,,,,,,,,110,226,,226,E2
227,,,,,,,,111,228,227,227,E3
230,,,,,,,,112,230,,230,E6
231,,,,,,,,113,232,231,231,E7
234,,,,,,,,114,234,,234,EA
235,,,,,,,,115,236,235,235,EB
238,,,,,,,,116,238,,238,EE
239,,,,,,,,117,240,239,239,EF
242,,,,,,,,118,242,,242,F2
243,,,,,,,,119,244,243,243,F3
246,,,,,,,,120,246,,246,F6
247,,,,,,,,121,248,247,247,F7
250,,,,,,,,122,250,,250,FA
251,,,,,,,,123,252,251,251,FB
